Turn 1, Prize = 1x Hammer
Turn 226, Prize = 1x Brush
Turn 227, Prize = 1x Hammer
Turn 228, Prize = 35x Gem
Turn 229, Prize = 1x Hammer
Turn 230, Prize = 1x Brush
Turn 231, Prize = 1x Hammer
Turn 232, Prize = 30 Min. Unlimited Lives
Turn 233, Prize = 30 Min. Unlimited Lives
Turn 234, Prize = 1x Hammer
Turn 235, Prize = 750x Coin
Turn 236, Prize = 3x Hammer
Turn 237, Prize = 30 Min. Unlimited Lives
Turn 238, Prize = 75x Gem
Turn 239, Prize = 3x Hammer
Turn 240, Prize = 3x Brush
Turn 241, Prize = 3x Brush
Turn 242, Prize = 30 Min. Unlimited Lives
Turn 243, Prize = 1x Brush
Turn 244, Prize = 1x Brush
Turn 245, Prize = 30 Min. Unlimited Lives
Turn 246, Prize = 30 Min. Unlimited Lives
Turn 247, Prize = 1x Hammer
Turn 248, Prize = 75x Gem
Turn 249, Prize = 30 Min. Unlimited Lives
Turn 250, Prize = 1x Hammer
Turn 251, Prize = 3x Hammer
Turn 252, Prize = 3x Brush
Turn 253, Prize = 1x Brush
Turn 254, Prize = 30 Min. Unlimited Lives
Turn 255, Prize = 3x Hammer
Turn 256, Prize = 30 Min. Unlimited Lives
Turn 257, Prize = 30 Min. Unlimited Lives
Turn 258, Prize = 1x Hammer
Turn 259, Prize = 30 Min. Unlimited Lives
Turn 260, Prize = 30 Min. Unlimited Lives
Turn 261, Prize = 1x Hammer
Turn 262, Prize = 30 Min. Unlimited Lives
Turn 263, Prize = 30 Min. Unlimited Lives
Turn 264, Prize = 1x Hammer
Turn 265, Prize = 1x Brush
Turn 266, Prize = 30 Min. Unlimited Lives
Turn 267, Prize = 30 Min. Unlimited Lives
Turn 268, Prize = 1x Hammer
Turn 269, Prize = 3x Brush
Turn 270, Prize = 1x Brush
Turn 271, Prize = 1x Brush
Turn 272, Prize = 1x Hammer
Turn 273, Prize = 3x Hammer
Turn 274, Prize = 1x Brush
Turn 275, Prize = 750x Coin
Turn 276, Prize = 35x Gem
Turn 277, Prize = 1x Hammer
Turn 278, Prize = 3x Hammer
Turn 279, Prize = 3x Hammer
Turn 280, Prize = 3x Brush
Turn 281, Prize = 1x Brush
Turn 282, Prize = 1x Brush
Turn 283, Prize = 3x Brush
Turn 284, Prize = 1x Brush
Turn 285, Prize = 3x Hammer
Turn 286, Prize = 30 Min. Unlimited Lives
Turn 287, Prize = 3x Hammer
Turn 288, Prize = 1x Hammer
Turn 289, Prize = 1x Brush
Turn 290, Prize = 35x Gem
Turn 291, Prize = 30 Min. Unlimited Lives
Turn 292, Prize = 35x Gem
Turn 293, Prize = 3x Brush
Turn 294, Prize = 3x Hammer
Turn 295, Prize = 3x Hammer
Turn 296, Prize = 3x Hammer
Turn 297, Prize = 1x Brush
Turn 298, Prize = 35x Gem
Turn 299, Prize = 1x Brush
Turn 300, Prize = 75x Gem
Turn 301, Prize = 1x Brush
Turn 302, Prize = 1x Brush
Turn 303, Prize = 750x Coin
Turn 304, Prize = 750x Coin
Turn 305, Prize = 1x Brush
Turn 306, Prize = 30 Min. Unlimited Lives
Turn 307, Prize = 30 Min. Unlimited Lives
Turn 308, Prize = 1x Hammer
Turn 309, Prize = 35x Gem
Turn 310, Prize = 1x Hammer
Turn 311, Prize = 30 Min. Unlimited Lives
Turn 312, Prize = 1x Hammer
Turn 313, Prize = 1x Hammer
Turn 314, Prize = 75x Gem
Turn 315, Prize = 75x Gem
Turn 316, Prize = 1x Hammer
Turn 317, Prize = 3x Brush
Turn 318, Prize = 1x Hammer
Turn 319, Prize = 30 Min. Unlimited Lives
Turn 320, Prize = 30 Min. Unlimited Lives
Turn 321, Prize = 3x Hammer
Turn 322, Prize = 3x Hammer
Turn 323, Prize = 35x Gem
Turn 324, Prize = 1x Hammer
Turn 325, Prize = 3x Hammer
Turn 326, Prize = 30 Min. Unlimited Lives
Turn 327, Prize = 3x Hammer
Turn 328, Prize = 3x Hammer
Turn 329, Prize = 750x Coin
Turn 330, Prize = 1x Brush
Turn 331, Prize = 1x Hammer
Turn 332, Prize = 30 Min. Unlimited Lives
Turn 333, Prize = 3x Hammer
Turn 334, Prize = 1x Hammer
Turn 335, Prize = 35x Gem
Turn 336, Prize = 1x Hammer
Turn 337, Prize = 1x Hammer
Turn 338, Prize = 30 Min. Unlimited Lives
Turn 339, Prize = 3x Brush
Turn 340, Prize = 3x Brush
Turn 341, Prize = 1x Hammer
Turn 342, Prize = 1x Hammer
Turn 343, Prize = 75x Gem
Turn 344, Prize = 35x Gem
Turn 345, Prize = 1x Brush
Turn 346, Prize = 3x Hammer
Turn 347, Prize = 750x Coin
Turn 348, Prize = 30 Min. Unlimited Lives
Turn 349, Prize = 3x Hammer
Turn 350, Prize = 1x Hammer
Turn 351, Prize = 30 Min. Unlimited Lives
Turn 352, Prize = 30 Min. Unlimited Lives
Turn 353, Prize = 35x Gem
Turn 354, Prize = 3x Hammer
Turn 355, Prize = 30 Min. Unlimited Lives
Turn 356, Prize = 750x Coin
Turn 357, Prize = 1x Brush
Turn 358, Prize = 1x Brush
Turn 359, Prize = 3x Brush
Turn 360, Prize = 1x Brush
Turn 361, Prize = 1x Hammer
Turn 362, Prize = 1x Brush
Turn 363, Prize = 1x Hammer
Turn 364, Prize = 30 Min. Unlimited Lives
Turn 365, Prize = 35x Gem
Turn 366, Prize = 30 Min. Unlimited Lives
Turn 367, Prize = 1x Brush
Turn 368, Prize = 1x Hammer
Turn 369, Prize = 1x Brush
Turn 370, Prize = 30 Min. Unlimited Lives
Turn 371, Prize = 30 Min. Unlimited Lives
Turn 372, Prize = 1x Brush
Turn 373, Prize = 75x Gem
Turn 374, Prize = 30 Min. Unlimited Lives
Turn 375, Prize = 1x Hammer
Turn 376, Prize = 30 Min. Unlimited Lives
Turn 377, Prize = 3x Brush
Turn 378, Prize = 1x Hammer
Turn 379, Prize = 750x Coin
Turn 380, Prize = 1x Hammer
Turn 381, Prize = 75x Gem
Turn 382, Prize = 1x Hammer
Turn 383, Prize = 75x Gem
Turn 384, Prize = 1x Hammer
Turn 385, Prize = 1x Brush
Turn 386, Prize = 30 Min. Unlimited Lives
Turn 387, Prize = 1x Brush
Turn 388, Prize = 1x Brush
Turn 389, Prize = 35x Gem
Turn 390, Prize = 750x Coin
Turn 391, Prize = 1x Hammer
Turn 392, Prize = 30 Min. Unlimited Lives
Turn 393, Prize = 30 Min. Unlimited Lives
Turn 394, Prize = 30 Min. Unlimited Lives
Turn 395, Prize = 1x Hammer
Turn 396, Prize = 1x Hammer
Turn 397, Prize = 1x Hammer
Turn 398, Prize = 1x Brush
Turn 399, Prize = 3x Hammer
Turn 400, Prize = 3x Brush
Turn 401, Prize = 1x Hammer
Turn 402, Prize = 1x Hammer
Turn 403, Prize = 1x Brush
Turn 404, Prize = 3x Brush
Turn 405, Prize = 1x Brush
Turn 406, Prize = 30 Min. Unlimited Lives
Turn 407, Prize = 30 Min. Unlimited Lives
Turn 408, Prize = 3x Hammer
Turn 409, Prize = 30 Min. Unlimited Lives
Turn 410, Prize = 30 Min. Unlimited Lives
Turn 411, Prize = 750x Coin
Turn 412, Prize = 3x Hammer
Turn 413, Prize = 30 Min. Unlimited Lives
Turn 414, Prize = 3x Brush
Turn 415, Prize = 3x Brush
Turn 416, Prize = 1x Brush
Turn 417, Prize = 1x Brush
Turn 418, Prize = 3x Hammer
Turn 419, Prize = 35x Gem
Turn 420, Prize = 1x Hammer
Turn 421, Prize = 35x Gem
Turn 422, Prize = 3x Hammer
Turn 423, Prize = 3x Hammer
Turn 424, Prize = 750x Coin
Turn 425, Prize = 3x Brush
Turn 426, Prize = 3x Brush
Turn 427, Prize = 30 Min. Unlimited Lives
Turn 428, Prize = 30 Min. Unlimited Lives
Turn 429, Prize = 1x Brush
Turn 430, Prize = 1x Brush
Turn 431, Prize = 30 Min. Unlimited Lives
Turn 432, Prize = 1x Brush
Turn 433, Prize = 750x Coin
Turn 434, Prize = 30 Min. Unlimited Lives
Turn 435, Prize = 1x Hammer
Turn 436, Prize = 75x Gem
Turn 437, Prize = 35x Gem
Turn 438, Prize = 1x Hammer
Turn 439, Prize = 30 Min. Unlimited Lives
Turn 440, Prize = 3x Brush
Turn 441, Prize = 30 Min. Unlimited Lives
Turn 442, Prize = 75x Gem
Turn 443, Prize = 30 Min. Unlimited Lives
Turn 444, Prize = 3x Hammer
Turn 445, Prize = 30 Min. Unlimited Lives
Turn 446, Prize = 750x Coin
Turn 447, Prize = 30 Min. Unlimited Lives
Turn 448, Prize = 1x Brush
Turn 449, Prize = 1x Brush
Turn 450, Prize = 1x Brush
Turn 451, Prize = 30 Min. Unlimited Lives
Turn 452, Prize = 30 Min. Unlimited Lives
Turn 453, Prize = 1x Brush
Turn 454, Prize = 3x Hammer
Turn 455, Prize = 1x Hammer
Turn 456, Prize = 35x Gem
Turn 457, Prize = 1x Hammer
Turn 458, Prize = 1x Hammer
Turn 459, Prize = 1x Brush
Turn 460, Prize = 1x Hammer
Turn 461, Prize = 35x Gem
Turn 462, Prize = 75x Gem
Turn 463, Prize = 75x Gem
Turn 464, Prize = 3x Brush
Turn 465, Prize = 35x Gem
Turn 466, Prize = 1x Brush
Turn 467, Prize = 30 Min. Unlimited Lives
Turn 468, Prize = 30 Min. Unlimited Lives
Turn 469, Prize = 1x Brush
Turn 470, Prize = 30 Min. Unlimited Lives
Turn 471, Prize = 1x Brush
Turn 472, Prize = 35x Gem
Turn 473, Prize = 1x Brush
Turn 474, Prize = 30 Min. Unlimited Lives
Turn 475, Prize = 30 Min. Unlimited Lives
Turn 476, Prize = 30 Min. Unlimited Lives
Turn 477, Prize = 3x Hammer
Turn 478, Prize = 30 Min. Unlimited Lives
Turn 479, Prize = 75x Gem
Turn 480, Prize = 30 Min. Unlimited Lives
Turn 481, Prize = 1x Hammer
Turn 482, Prize = 1x Brush
Turn 483, Prize = 3x Hammer
Turn 484, Prize = 30 Min. Unlimited Lives
Turn 485, Prize = 35x Gem
Turn 486, Prize = 75x Gem
Turn 487, Prize = 35x Gem
Turn 488, Prize = 1x Hammer
Turn 489, Prize = 1x Hammer
Turn 490, Prize = 1x Hammer
Turn 491, Prize = 35x Gem
Turn 492, Prize = 30 Min. Unlimited Lives
Turn 493, Prize = 3x Hammer
Turn 494, Prize = 75x Gem
Turn 495, Prize = 1x Brush
Turn 496, Prize = 35x Gem
Turn 497, Prize = 3x Hammer
Turn 498, Prize = 3x Brush
Turn 499, Prize = 35x Gem
Turn 500, Prize = 30 Min. Unlimited Lives
Turn 501, Prize = 30 Min. Unlimited Lives
Turn 502, Prize = 3x Brush
Turn 503, Prize = 1x Hammer
Turn 504, Prize = 30 Min. Unlimited Lives
Turn 505, Prize = 750x Coin
Turn 506, Prize = 35x Gem
Turn 507, Prize = 3x Brush
Turn 508, Prize = 30 Min. Unlimited Lives
Turn 509, Prize = 30 Min. Unlimited Lives
Turn 510, Prize = 30 Min. Unlimited Lives
Turn 511, Prize = 35x Gem
Turn 512, Prize = 30 Min. Unlimited Lives
Turn 513, Prize = 3x Brush
Turn 514, Prize = 1x Hammer
Turn 515, Prize = 35x Gem
Turn 516, Prize = 3x Hammer
Turn 517, Prize = 30 Min. Unlimited Lives
Turn 518, Prize = 1x Hammer
Turn 519, Prize = 1x Hammer
Turn 520, Prize = 30 Min. Unlimited Lives
Turn 521, Prize = 3x Hammer
Turn 522, Prize = 30 Min. Unlimited Lives
Turn 523, Prize = 35x Gem
Turn 524, Prize = 3x Hammer
Turn 525, Prize = 30 Min. Unlimited Lives
Turn 526, Prize = 750x Coin
Turn 527, Prize = 3x Brush
Turn 528, Prize = 75x Gem
Turn 529, Prize = 1x Brush
Turn 530, Prize = 35x Gem
Turn 531, Prize = 3x Hammer
Turn 532, Prize = 1x Hammer
Turn 533, Prize = 30 Min. Unlimited Lives
Turn 534, Prize = 3x Brush
Turn 535, Prize = 30 Min. Unlimited Lives
Turn 536, Prize = 35x Gem
Turn 537, Prize = 30 Min. Unlimited Lives
Turn 538, Prize = 3x Brush
Turn 539, Prize = 1x Hammer
Turn 540, Prize = 1x Hammer
Turn 541, Prize = 3x Brush
Turn 542, Prize = 75x Gem
Turn 543, Prize = 30 Min. Unlimited Lives
Turn 544, Prize = 30 Min. Unlimited Lives
Turn 545, Prize = 35x Gem
Turn 546, Prize = 35x Gem
Turn 547, Prize = 30 Min. Unlimited Lives
Turn 548, Prize = 1x Brush
Turn 549, Prize = 30 Min. Unlimited Lives
Turn 550, Prize = 1x Brush
Turn 551, Prize = 1x Brush
Turn 552, Prize = 1x Brush
Turn 553, Prize = 1x Hammer
Turn 554, Prize = 3x Hammer
Turn 555, Prize = 30 Min. Unlimited Lives
Turn 556, Prize = 1x Brush
Turn 557, Prize = 75x Gem
Turn 558, Prize = 1x Hammer
Turn 559, Prize = 1x Hammer
Turn 560, Prize = 35x Gem
Turn 561, Prize = 3x Hammer
Turn 562, Prize = 3x Hammer
Turn 563, Prize = 30 Min. Unlimited Lives
Turn 564, Prize = 1x Brush
Turn 565, Prize = 1x Hammer
Turn 566, Prize = 1x Brush
Turn 567, Prize = 1x Brush
Turn 568, Prize = 30 Min. Unlimited Lives
Turn 569, Prize = 3x Hammer
Turn 570, Prize = 3x Brush
Turn 571, Prize = 3x Brush
Turn 572, Prize = 30 Min. Unlimited Lives
Turn 573, Prize = 30 Min. Unlimited Lives
Turn 574, Prize = 1x Brush
Turn 575, Prize = 3x Brush
Turn 576, Prize = 1x Brush
Turn 577, Prize = 30 Min. Unlimited Lives
Turn 578, Prize = 750x Coin
Turn 579, Prize = 30 Min. Unlimited Lives
Turn 580, Prize = 1x Hammer
Turn 581, Prize = 1x Brush
Turn 582, Prize = 30 Min. Unlimited Lives
Turn 583, Prize = 1x Hammer
Turn 584, Prize = 3x Brush
Turn 585, Prize = 1x Brush
Turn 586, Prize = 1x Hammer
Turn 587, Prize = 30 Min. Unlimited Lives
Turn 588, Prize = 30 Min. Unlimited Lives
Turn 589, Prize = 35x Gem
Turn 590, Prize = 75x Gem
Turn 591, Prize = 35x Gem
Turn 592, Prize = 1x Hammer
Turn 593, Prize = 3x Hammer
Turn 594, Prize = 30 Min. Unlimited Lives
Turn 595, Prize = 3x Hammer
Turn 596, Prize = 3x Hammer
Turn 597, Prize = 1x Brush
Turn 598, Prize = 3x Hammer
Turn 599, Prize = 750x Coin
Turn 600, Prize = 3x Hammer
Turn 601, Prize = 1x Hammer
Turn 602, Prize = 35x Gem
Turn 603, Prize = 1x Brush
Turn 604, Prize = 30 Min. Unlimited Lives
Turn 605, Prize = 1x Hammer
Turn 606, Prize = 30 Min. Unlimited Lives
Turn 607, Prize = 3x Hammer
Turn 608, Prize = 1x Hammer
Turn 609, Prize = 75x Gem
Turn 610, Prize = 30 Min. Unlimited Lives
Turn 611, Prize = 3x Hammer
Turn 612, Prize = 30 Min. Unlimited Lives
Turn 613, Prize = 30 Min. Unlimited Lives
Turn 614, Prize = 30 Min. Unlimited Lives
Turn 615, Prize = 30 Min. Unlimited Lives
Turn 616, Prize = 30 Min. Unlimited Lives
Turn 617, Prize = 1x Hammer
Turn 618, Prize = 750x Coin
Turn 619, Prize = 1x Brush
Turn 620, Prize = 1x Hammer
Turn 621, Prize = 1x Hammer
Turn 622, Prize = 1x Brush
Turn 623, Prize = 30 Min. Unlimited Lives
Turn 624, Prize = 1x Hammer
Turn 625, Prize = 3x Hammer
Turn 626, Prize = 1x Hammer
Turn 627, Prize = 35x Gem
Turn 628, Prize = 750x Coin
Turn 629, Prize = 1x Hammer
Turn 630, Prize = 30 Min. Unlimited Lives
Turn 631, Prize = 1x Hammer
Turn 632, Prize = 3x Brush
Turn 633, Prize = 1x Hammer
Turn 634, Prize = 30 Min. Unlimited Lives
Turn 635, Prize = 1x Brush
Turn 636, Prize = 1x Hammer
Turn 637, Prize = 1x Hammer
Turn 638, Prize = 30 Min. Unlimited Lives
Turn 639, Prize = 1x Hammer
Turn 640, Prize = 30 Min. Unlimited Lives
Turn 641, Prize = 3x Brush
Turn 642, Prize = 35x Gem
Turn 643, Prize = 3x Brush
Turn 644, Prize = 3x Hammer
Turn 645, Prize = 1x Hammer
Turn 646, Prize = 1x Brush
Turn 647, Prize = 1x Brush
Turn 648, Prize = 1x Hammer
Turn 649, Prize = 3x Hammer
Turn 650, Prize = 35x Gem
Turn 651, Prize = 750x Coin
Turn 652, Prize = 1x Brush
Turn 653, Prize = 750x Coin
Turn 654, Prize = 30 Min. Unlimited Lives
Turn 655, Prize = 3x Brush
Turn 656, Prize = 1x Hammer
Turn 657, Prize = 3x Hammer
Turn 658, Prize = 1x Brush
Turn 659, Prize = 30 Min. Unlimited Lives
Turn 660, Prize = 1x Hammer
Turn 661, Prize = 1x Brush
Turn 662, Prize = 3x Brush
Turn 663, Prize = 1x Brush
Turn 664, Prize = 1x Hammer
Turn 665, Prize = 1x Brush
Turn 666, Prize = 3x Hammer
Turn 667, Prize = 30 Min. Unlimited Lives
Turn 668, Prize = 1x Hammer
Turn 669, Prize = 3x Hammer
Turn 670, Prize = 3x Brush
Turn 671, Prize = 1x Brush
Turn 672, Prize = 1x Hammer
Turn 673, Prize = 1x Hammer
Turn 674, Prize = 1x Brush
Turn 675, Prize = 1x Brush
Turn 676, Prize = 30 Min. Unlimited Lives
Turn 677, Prize = 3x Brush
Turn 678, Prize = 1x Brush
Turn 679, Prize = 30 Min. Unlimited Lives
Turn 680, Prize = 30 Min. Unlimited Lives
Turn 681, Prize = 1x Hammer
Turn 682, Prize = 3x Brush
Turn 683, Prize = 35x Gem
Turn 684, Prize = 3x Brush
Turn 685, Prize = 1x Hammer
Turn 686, Prize = 1x Brush
Turn 687, Prize = 1x Hammer
Turn 688, Prize = 30 Min. Unlimited Lives
Turn 689, Prize = 1x Brush
Turn 690, Prize = 1x Hammer
Turn 691, Prize = 1x Hammer
Turn 692, Prize = 750x Coin
Turn 693, Prize = 30 Min. Unlimited Lives
Turn 694, Prize = 30 Min. Unlimited Lives
Turn 695, Prize = 750x Coin
Turn 696, Prize = 1x Brush
Turn 697, Prize = 30 Min. Unlimited Lives
Turn 698, Prize = 30 Min. Unlimited Lives
Turn 699, Prize = 750x Coin
Turn 700, Prize = 1x Brush
Turn 701, Prize = 30 Min. Unlimited Lives
Turn 702, Prize = 1x Brush
Turn 703, Prize = 35x Gem
Turn 704, Prize = 1x Brush
Turn 705, Prize = 30 Min. Unlimited Lives
Turn 706, Prize = 30 Min. Unlimited Lives
Turn 707, Prize = 1x Hammer
Turn 708, Prize = 3x Hammer
Turn 709, Prize = 30 Min. Unlimited Lives
Turn 710, Prize = 3x Hammer
Turn 711, Prize = 30 Min. Unlimited Lives
Turn 712, Prize = 1x Hammer
Turn 713, Prize = 1x Hammer
Turn 714, Prize = 1x Brush
Turn 715, Prize = 75x Gem
Turn 716, Prize = 35x Gem
Turn 717, Prize = 1x Hammer
Turn 718, Prize = 3x Brush
Turn 719, Prize = 750x Coin
Turn 720, Prize = 30 Min. Unlimited Lives
Turn 721, Prize = 30 Min. Unlimited Lives
Turn 722, Prize = 1x Brush
Turn 723, Prize = 30 Min. Unlimited Lives
Turn 724, Prize = 1x Brush
Turn 725, Prize = 1x Brush
Turn 726, Prize = 1x Brush
Turn 727, Prize = 1x Brush
Turn 728, Prize = 1x Hammer
Turn 729, Prize = 750x Coin
